k,d,n,acc
11,3520,4096,1.0
11,3584,4096,1.0
11,3648,4096,1.0
11,3712,4096,1.0
11,3776,4096,1.0
11,3840,4096,1.0
11,3904,4096,1.0
11,3968,4096,1.0
11,4032,4096,1.0
11,4096,4096,1.0
12,64,4096,0.0
12,128,4096,0.0009765625
12,192,4096,0.0166015625
12,256,4096,0.220703125
12,320,4096,0.5576171875
12,384,4096,0.818359375
12,448,4096,0.93359375
12,512,4096,0.9833984375
12,576,4096,0.9921875
12,640,4096,1.0
12,704,4096,0.9990234375
12,768,4096,1.0
12,832,4096,1.0
12,896,4096,1.0
12,960,4096,1.0
12,1024,4096,1.0
12,1088,4096,1.0
12,1152,4096,1.0
12,1216,4096,1.0
12,1280,4096,1.0
12,1344,4096,1.0
12,1408,4096,1.0
12,1472,4096,1.0
12,1536,4096,1.0
12,1600,4096,1.0
12,1664,4096,1.0
12,1728,4096,1.0
12,1792,4096,1.0
12,1856,4096,1.0
12,1920,4096,1.0
12,1984,4096,1.0
12,2048,4096,1.0
12,2112,4096,1.0
12,2176,4096,1.0
12,2240,4096,1.0
12,2304,4096,1.0
12,2368,4096,1.0
12,2432,4096,1.0
12,2496,4096,1.0
12,2560,4096,1.0
12,2624,4096,1.0
12,2688,4096,1.0
12,2752,4096,1.0
12,2816,4096,1.0
12,2880,4096,1.0
12,2944,4096,1.0
12,3008,4096,1.0
12,3072,4096,1.0
12,3136,4096,1.0
12,3200,4096,1.0
12,3264,4096,1.0
12,3328,4096,1.0
12,3392,4096,1.0
12,3456,4096,1.0
12,3520,4096,1.0
12,3584,4096,1.0
12,3648,4096,1.0
12,3712,4096,1.0
12,3776,4096,1.0
12,3840,4096,1.0
12,3904,4096,1.0
12,3968,4096,1.0
12,4032,4096,1.0
12,4096,4096,1.0
13,64,4096,0.0
13,128,4096,0.0
13,192,4096,0.0048828125
13,256,4096,0.09375
13,320,4096,0.3955078125
13,384,4096,0.6845703125
13,448,4096,0.876953125
13,512,4096,0.9443359375
13,576,4096,0.98828125
13,640,4096,0.99609375
13,704,4096,1.0
13,768,4096,1.0
13,832,4096,1.0
13,896,4096,1.0
13,960,4096,1.0
13,1024,4096,1.0
13,1088,4096,1.0
13,1152,4096,1.0
13,1216,4096,1.0
13,1280,4096,1.0
13,1344,4096,1.0
13,1408,4096,1.0
13,1472,4096,1.0
13,1536,4096,1.0
13,1600,4096,1.0
13,1664,4096,1.0
13,1728,4096,1.0
13,1792,4096,1.0
13,1856,4096,1.0
13,1920,4096,1.0
13,1984,4096,1.0
13,2048,4096,1.0
13,2112,4096,1.0
13,2176,4096,1.0
13,2240,4096,1.0
13,2304,4096,1.0
13,2368,4096,1.0
13,2432,4096,1.0
13,2496,4096,1.0
13,2560,4096,1.0
13,2624,4096,1.0
13,2688,4096,1.0
13,2752,4096,1.0
13,2816,4096,1.0
13,2880,4096,1.0
13,2944,4096,1.0
13,3008,4096,1.0
13,3072,4096,1.0
13,3136,4096,1.0
13,3200,4096,1.0
13,3264,4096,1.0
13,3328,4096,1.0
13,3392,4096,1.0
13,3456,4096,1.0
13,3520,4096,1.0
13,3584,4096,1.0
13,3648,4096,1.0
13,3712,4096,1.0
13,3776,4096,1.0
13,3840,4096,1.0
13,3904,4096,1.0
13,3968,4096,1.0
13,4032,4096,1.0
13,4096,4096,1.0
14,64,4096,0.0
14,128,4096,0.0
14,192,4096,0.0
14,256,4096,0.03515625
14,320,4096,0.2392578125
14,384,4096,0.55078125
14,448,4096,0.76953125
14,512,4096,0.9033203125
14,576,4096,0.9775390625
14,640,4096,0.994140625
14,704,4096,0.9921875
14,768,4096,0.9970703125
14,832,4096,1.0
14,896,4096,1.0
14,960,4096,1.0
14,1024,4096,1.0
14,1088,4096,1.0
14,1152,4096,1.0
14,1216,4096,1.0
14,1280,4096,1.0
14,1344,4096,1.0
14,1408,4096,1.0
14,1472,4096,1.0
14,1536,4096,1.0
14,1600,4096,1.0
14,1664,4096,1.0
14,1728,4096,1.0
14,1792,4096,1.0
14,1856,4096,1.0
14,1920,4096,1.0
14,1984,4096,1.0
14,2048,4096,1.0
14,2112,4096,1.0
14,2176,4096,1.0
14,2240,4096,1.0
14,2304,4096,1.0
14,2368,4096,1.0
14,2432,4096,1.0
14,2496,4096,1.0
14,2560,4096,1.0
14,2624,4096,1.0
14,2688,4096,1.0
14,2752,4096,1.0
14,2816,4096,1.0
14,2880,4096,1.0
14,2944,4096,1.0
14,3008,4096,1.0
14,3072,4096,1.0
14,3136,4096,1.0
14,3200,4096,1.0
14,3264,4096,1.0
14,3328,4096,1.0
14,3392,4096,1.0
14,3456,4096,1.0
14,3520,4096,1.0
14,3584,4096,1.0
14,3648,4096,1.0
14,3712,4096,1.0
14,3776,4096,1.0
14,3840,4096,1.0
14,3904,4096,1.0
14,3968,4096,1.0
14,4032,4096,1.0
14,4096,4096,1.0
15,64,4096,0.0
15,128,4096,0.0
15,192,4096,0.0
15,256,4096,0.01171875
15,320,4096,0.1240234375
15,384,4096,0.40625
15,448,4096,0.6572265625
15,512,4096,0.8271484375
15,576,4096,0.9423828125
15,640,4096,0.9677734375
15,704,4096,0.9912109375
15,768,4096,0.99609375
15,832,4096,0.9990234375
15,896,4096,1.0
15,960,4096,0.9990234375
15,1024,4096,1.0
15,1088,4096,1.0
15,1152,4096,1.0
15,1216,4096,1.0
15,1280,4096,1.0
15,1344,4096,1.0
15,1408,4096,1.0
15,1472,4096,1.0
15,1536,4096,1.0
15,1600,4096,1.0
15,1664,4096,1.0
15,1728,4096,1.0
15,1792,4096,1.0
15,1856,4096,1.0
15,1920,4096,1.0
15,1984,4096,1.0
15,2048,4096,1.0
15,2112,4096,1.0
15,2176,4096,1.0
15,2240,4096,1.0
15,2304,4096,1.0
15,2368,4096,1.0
15,2432,4096,1.0
15,2496,4096,1.0
15,2560,4096,1.0
15,2624,4096,1.0
15,2688,4096,1.0
15,2752,4096,1.0
15,2816,4096,1.0
15,2880,4096,1.0
15,2944,4096,1.0
15,3008,4096,1.0
15,3072,4096,1.0
15,3136,4096,1.0
15,3200,4096,1.0
15,3264,4096,1.0
15,3328,4096,1.0
15,3392,4096,1.0
15,3456,4096,1.0
15,3520,4096,1.0
15,3584,4096,1.0
15,3648,4096,1.0
15,3712,4096,1.0
15,3776,4096,1.0
15,3840,4096,1.0
15,3904,4096,1.0
15,3968,4096,1.0
15,4032,4096,1.0
15,4096,4096,1.0
16,64,4096,0.0
16,128,4096,0.0
16,192,4096,0.0
16,256,4096,0.0029296875
16,320,4096,0.08203125
16,384,4096,0.275390625
16,448,4096,0.556640625
16,512,4096,0.740234375
16,576,4096,0.869140625
16,640,4096,0.9541015625
16,704,4096,0.98046875
16,768,4096,0.98828125
16,832,4096,0.9970703125
16,896,4096,0.9990234375
16,960,4096,0.9990234375
16,1024,4096,1.0
16,1088,4096,1.0
16,1152,4096,1.0
16,1216,4096,1.0
16,1280,4096,1.0
16,1344,4096,1.0
16,1408,4096,1.0
16,1472,4096,1.0
16,1536,4096,1.0
16,1600,4096,1.0
16,1664,4096,1.0
16,1728,4096,1.0
16,1792,4096,1.0
16,1856,4096,1.0
16,1920,4096,1.0
16,1984,4096,1.0
16,2048,4096,1.0
16,2112,4096,1.0
16,2176,4096,1.0
16,2240,4096,1.0
16,2304,4096,1.0
16,2368,4096,1.0
16,2432,4096,1.0
16,2496,4096,1.0
16,2560,4096,1.0
16,2624,4096,1.0
16,2688,4096,1.0
16,2752,4096,1.0
16,2816,4096,1.0
16,2880,4096,1.0
16,2944,4096,1.0
16,3008,4096,1.0
16,3072,4096,1.0
16,3136,4096,1.0
16,3200,4096,1.0
16,3264,4096,1.0
16,3328,4096,1.0
16,3392,4096,1.0
16,3456,4096,1.0
16,3520,4096,1.0
16,3584,4096,1.0
16,3648,4096,1.0
16,3712,4096,1.0
16,3776,4096,1.0
16,3840,4096,1.0
16,3904,4096,1.0
16,3968,4096,1.0
16,4032,4096,1.0
16,4096,4096,1.0
17,64,4096,0.0
17,128,4096,0.0
17,192,4096,0.0
17,256,4096,0.0048828125
17,320,4096,0.029296875
17,384,4096,0.158203125
17,448,4096,0.4013671875
17,512,4096,0.658203125
17,576,4096,0.806640625
17,640,4096,0.912109375
17,704,4096,0.955078125
17,768,4096,0.9755859375
17,832,4096,0.9921875
17,896,4096,0.998046875
17,960,4096,0.998046875
17,1024,4096,0.9990234375
17,1088,4096,1.0
17,1152,4096,1.0
17,1216,4096,1.0
17,1280,4096,1.0
17,1344,4096,1.0
17,1408,4096,1.0
17,1472,4096,1.0
17,1536,4096,1.0
17,1600,4096,1.0
17,1664,4096,1.0
17,1728,4096,1.0
17,1792,4096,1.0
17,1856,4096,1.0
17,1920,4096,1.0
17,1984,4096,1.0
17,2048,4096,1.0
17,2112,4096,1.0
17,2176,4096,1.0
17,2240,4096,1.0
17,2304,4096,1.0
17,2368,4096,1.0
17,2432,4096,1.0
17,2496,4096,1.0
17,2560,4096,1.0
17,2624,4096,1.0
17,2688,4096,1.0
17,2752,4096,1.0
17,2816,4096,1.0
17,2880,4096,1.0
17,2944,4096,1.0
17,3008,4096,1.0
17,3072,4096,1.0
17,3136,4096,1.0
17,3200,4096,1.0
17,3264,4096,1.0
17,3328,4096,1.0
17,3392,4096,1.0
17,3456,4096,1.0
17,3520,4096,1.0
17,3584,4096,1.0
17,3648,4096,1.0
17,3712,4096,1.0
17,3776,4096,1.0
17,3840,4096,1.0
17,3904,4096,1.0
17,3968,4096,1.0
17,4032,4096,1.0
17,4096,4096,1.0
18,64,4096,0.0
18,128,4096,0.0
18,192,4096,0.0
18,256,4096,0.0
18,320,4096,0.01171875
18,384,4096,0.0751953125
18,448,4096,0.3056640625
18,512,4096,0.5224609375
18,576,4096,0.6845703125
18,640,4096,0.8515625
18,704,4096,0.9052734375
18,768,4096,0.9658203125
18,832,4096,0.978515625
18,896,4096,0.9931640625
18,960,4096,0.998046875
18,1024,4096,0.9970703125
18,1088,4096,1.0
18,1152,4096,1.0
18,1216,4096,1.0
18,1280,4096,1.0
18,1344,4096,1.0
18,1408,4096,1.0
18,1472,4096,1.0
18,1536,4096,1.0
18,1600,4096,1.0
18,1664,4096,1.0
18,1728,4096,1.0
18,1792,4096,1.0
18,1856,4096,1.0
18,1920,4096,1.0
18,1984,4096,1.0
18,2048,4096,1.0
18,2112,4096,1.0
18,2176,4096,1.0
18,2240,4096,1.0
18,2304,4096,1.0
18,2368,4096,1.0
18,2432,4096,1.0
18,2496,4096,1.0
18,2560,4096,1.0
18,2624,4096,1.0
18,2688,4096,1.0
18,2752,4096,1.0
18,2816,4096,1.0
18,2880,4096,1.0
18,2944,4096,1.0
18,3008,4096,1.0
18,3072,4096,1.0
18,3136,4096,1.0
18,3200,4096,1.0
18,3264,4096,1.0
18,3328,4096,1.0
18,3392,4096,1.0
18,3456,4096,1.0
18,3520,4096,1.0
