k,d,max_steps,acc
4,192,64,1.0
4,208,1,1.0
4,208,2,1.0
4,208,4,1.0
4,208,64,1.0
4,224,1,1.0
4,224,2,1.0
4,224,4,1.0
4,224,64,1.0
4,240,1,1.0
4,240,2,1.0
4,240,4,1.0
4,240,64,1.0
4,256,1,1.0
4,256,2,1.0
4,256,4,1.0
4,256,64,1.0
4,272,1,1.0
4,272,2,1.0
4,272,4,1.0
4,272,64,1.0
4,288,1,1.0
4,288,2,1.0
4,288,4,1.0
4,288,64,1.0
4,304,1,1.0
4,304,2,1.0
4,304,4,1.0
4,304,64,1.0
4,320,1,1.0
4,320,2,1.0
4,320,4,1.0
4,320,64,1.0
4,336,1,1.0
4,336,2,1.0
4,336,4,1.0
4,336,64,1.0
4,352,1,1.0
4,352,2,1.0
4,352,4,1.0
4,352,64,1.0
4,368,1,1.0
4,368,2,1.0
4,368,4,1.0
4,368,64,1.0
4,384,1,1.0
4,384,2,1.0
4,384,4,1.0
4,384,64,1.0
4,400,1,1.0
4,400,2,1.0
4,400,4,1.0
4,400,64,1.0
4,416,1,1.0
4,416,2,1.0
4,416,4,1.0
4,416,64,1.0
4,432,1,1.0
4,432,2,1.0
4,432,4,1.0
4,432,64,1.0
4,448,1,1.0
4,448,2,1.0
4,448,4,1.0
4,448,64,1.0
4,464,1,1.0
4,464,2,1.0
4,464,4,1.0
4,464,64,1.0
4,480,1,1.0
4,480,2,1.0
4,480,4,1.0
4,480,64,1.0
4,496,1,1.0
4,496,2,1.0
4,496,4,1.0
4,496,64,1.0
4,512,1,1.0
4,512,2,1.0
4,512,4,1.0
4,512,64,1.0
4,528,1,1.0
4,528,2,1.0
4,528,4,1.0
4,528,64,1.0
4,544,1,1.0
4,544,2,1.0
4,544,4,1.0
4,544,64,1.0
4,560,1,1.0
4,560,2,1.0
4,560,4,1.0
4,560,64,1.0
4,576,1,1.0
4,576,2,1.0
4,576,4,1.0
4,576,64,1.0
4,592,1,1.0
4,592,2,1.0
4,592,4,1.0
4,592,64,1.0
4,608,1,1.0
4,608,2,1.0
4,608,4,1.0
4,608,64,1.0
4,624,1,1.0
4,624,2,1.0
4,624,4,1.0
4,624,64,1.0
4,640,1,1.0
4,640,2,1.0
4,640,4,1.0
4,640,64,1.0
4,656,1,1.0
4,656,2,1.0
4,656,4,1.0
4,656,64,1.0
4,672,1,1.0
4,672,2,1.0
4,672,4,1.0
4,672,64,1.0
4,688,1,1.0
4,688,2,1.0
4,688,4,1.0
4,688,64,1.0
4,704,1,1.0
4,704,2,1.0
4,704,4,1.0
4,704,64,1.0
4,720,1,1.0
4,720,2,1.0
4,720,4,1.0
4,720,64,1.0
4,736,1,1.0
4,736,2,1.0
4,736,4,1.0
4,736,64,1.0
4,752,1,1.0
4,752,2,1.0
4,752,4,1.0
4,752,64,1.0
4,768,1,1.0
4,768,2,1.0
4,768,4,1.0
4,768,64,1.0
4,784,1,1.0
4,784,2,1.0
4,784,4,1.0
4,784,64,1.0
4,800,1,1.0
4,800,2,1.0
4,800,4,1.0
4,800,64,1.0
4,816,1,1.0
4,816,2,1.0
4,816,4,1.0
4,816,64,1.0
4,832,1,1.0
4,832,2,1.0
4,832,4,1.0
4,832,64,1.0
4,848,1,1.0
4,848,2,1.0
4,848,4,1.0
4,848,64,1.0
4,864,1,1.0
4,864,2,1.0
4,864,4,1.0
4,864,64,1.0
4,880,1,1.0
4,880,2,1.0
4,880,4,1.0
4,880,64,1.0
4,896,1,1.0
4,896,2,1.0
4,896,4,1.0
4,896,64,1.0
4,912,1,1.0
4,912,2,1.0
4,912,4,1.0
4,912,64,1.0
4,928,1,1.0
4,928,2,1.0
4,928,4,1.0
4,928,64,1.0
4,944,1,1.0
4,944,2,1.0
4,944,4,1.0
4,944,64,1.0
4,960,1,1.0
4,960,2,1.0
4,960,4,1.0
4,960,64,1.0
4,976,1,1.0
4,976,2,1.0
4,976,4,1.0
4,976,64,1.0
4,992,1,1.0
4,992,2,1.0
4,992,4,1.0
4,992,64,1.0
4,1008,1,1.0
4,1008,2,1.0
4,1008,4,1.0
4,1008,64,1.0
4,1024,1,1.0
4,1024,2,1.0
4,1024,4,1.0
4,1024,64,1.0
5,16,1,0.0
5,16,2,0.0
5,16,4,0.0
5,16,64,0.0
5,32,1,0.0
5,32,2,0.0
5,32,4,0.0
5,32,64,0.0
5,48,1,0.0
5,48,2,0.015625
5,48,4,0.09375
5,48,64,0.140625
5,64,1,0.0078125
5,64,2,0.09375
5,64,4,0.390625
5,64,64,0.5625
5,80,1,0.0078125
5,80,2,0.4296875
5,80,4,0.75
5,80,64,0.859375
5,96,1,0.0703125
5,96,2,0.7421875
5,96,4,0.9453125
5,96,64,1.0
5,112,1,0.234375
5,112,2,0.90625
5,112,4,0.96875
5,112,64,0.9921875
5,128,1,0.515625
5,128,2,0.984375
5,128,4,1.0
5,128,64,1.0
5,144,1,0.5859375
5,144,2,0.9765625
5,144,4,1.0
5,144,64,1.0
5,160,1,0.875
5,160,2,1.0
5,160,4,1.0
5,160,64,1.0
5,176,1,0.9609375
5,176,2,1.0
5,176,4,1.0
5,176,64,1.0
5,192,1,0.953125
5,192,2,1.0
5,192,4,1.0
5,192,64,1.0
5,208,1,0.9765625
5,208,2,1.0
5,208,4,1.0
5,208,64,1.0
5,224,1,0.9921875
5,224,2,1.0
5,224,4,1.0
5,224,64,1.0
5,240,1,0.9921875
5,240,2,1.0
5,240,4,1.0
5,240,64,1.0
5,256,1,0.9921875
5,256,2,1.0
5,256,4,1.0
5,256,64,1.0
5,272,1,1.0
5,272,2,1.0
5,272,4,1.0
5,272,64,1.0
5,288,1,1.0
5,288,2,1.0
5,288,4,1.0
5,288,64,1.0
5,304,1,1.0
5,304,2,1.0
5,304,4,1.0
5,304,64,1.0
5,320,1,1.0
5,320,2,1.0
5,320,4,1.0
5,320,64,1.0
5,336,1,1.0
