n,d,k,b,accuracy
1048576,902,72,50,0.07999999821186066
1048576,984,72,50,0.30000001192092896
1048576,82,73,50,0.0
1048576,164,73,50,0.0
1048576,246,73,50,0.0
1048576,328,73,50,0.0
1048576,410,73,50,0.0
1048576,492,73,50,0.0
1048576,574,73,50,0.0
1048576,656,73,50,0.0
1048576,738,73,50,0.0
1048576,820,73,50,0.0
1048576,902,73,50,0.14000000059604645
1048576,984,73,50,0.23999999463558197
1048576,82,74,50,0.0
1048576,164,74,50,0.0
1048576,246,74,50,0.0
1048576,328,74,50,0.0
1048576,410,74,50,0.0
1048576,492,74,50,0.0
1048576,574,74,50,0.0
1048576,656,74,50,0.0
1048576,738,74,50,0.0
1048576,820,74,50,0.0
1048576,902,74,50,0.019999999552965164
1048576,984,74,50,0.2800000011920929
1048576,82,75,50,0.0
1048576,164,75,50,0.0
1048576,246,75,50,0.0
1048576,328,75,50,0.0
1048576,410,75,50,0.0
1048576,492,75,50,0.0
1048576,574,75,50,0.0
1048576,656,75,50,0.0
1048576,738,75,50,0.0
1048576,820,75,50,0.0
1048576,902,75,50,0.05999999865889549
1048576,984,75,50,0.14000000059604645
1048576,82,76,50,0.0
1048576,164,76,50,0.0
1048576,246,76,50,0.0
1048576,328,76,50,0.0
1048576,410,76,50,0.0
1048576,492,76,50,0.0
1048576,574,76,50,0.0
1048576,656,76,50,0.0
1048576,738,76,50,0.0
1048576,820,76,50,0.0
1048576,902,76,50,0.05999999865889549
1048576,984,76,50,0.20000000298023224
1048576,82,77,50,0.0
1048576,164,77,50,0.0
1048576,246,77,50,0.0
1048576,328,77,50,0.0
1048576,410,77,50,0.0
1048576,492,77,50,0.0
1048576,574,77,50,0.0
1048576,656,77,50,0.0
1048576,738,77,50,0.0
1048576,820,77,50,0.0
1048576,902,77,50,0.03999999910593033
1048576,984,77,50,0.20000000298023224
