n,eta,factor,threshold,max_steps,k,d,acc
256,0.0126984128728508,3.7142858505249023,False,2,1.0,24.0,1.0
256,0.0126984128728508,3.7142858505249023,False,3,1.0,24.0,1.0
256,0.0126984128728508,3.857142925262451,False,2,1.0,25.0,1.0
256,0.0126984128728508,3.857142925262451,False,3,1.0,25.0,1.0
256,0.0126984128728508,4.0,False,2,1.0,26.0,1.0
256,0.0126984128728508,4.0,False,3,1.0,26.0,1.0
256,0.0126984128728508,4.142857551574707,False,2,1.0,27.0,1.0
256,0.0126984128728508,4.142857551574707,False,3,1.0,27.0,1.0
256,0.0126984128728508,4.285714626312256,False,2,1.0,28.0,1.0
256,0.0126984128728508,4.285714626312256,False,3,1.0,28.0,1.0
256,0.0126984128728508,4.428571701049805,False,2,1.0,28.0,1.0
256,0.0126984128728508,4.428571701049805,False,3,1.0,28.0,1.0
256,0.0126984128728508,4.571428298950195,False,2,1.0,29.0,1.0
256,0.0126984128728508,4.571428298950195,False,3,1.0,29.0,1.0
256,0.0126984128728508,4.714285373687744,False,2,1.0,30.0,1.0
256,0.0126984128728508,4.714285373687744,False,3,1.0,30.0,1.0
256,0.0126984128728508,4.857142448425293,False,2,1.0,31.0,1.0
256,0.0126984128728508,4.857142448425293,False,3,1.0,31.0,1.0
256,0.0126984128728508,5.0,False,2,1.0,32.0,1.0
256,0.0126984128728508,5.0,False,3,1.0,32.0,1.0
256,0.0126984128728508,5.142857074737549,False,2,1.0,33.0,1.0
256,0.0126984128728508,5.142857074737549,False,3,1.0,33.0,1.0
256,0.0126984128728508,5.285714149475098,False,2,1.0,34.0,1.0
256,0.0126984128728508,5.285714149475098,False,3,1.0,34.0,1.0
256,0.0126984128728508,5.4285712242126465,False,2,1.0,35.0,1.0
256,0.0126984128728508,5.4285712242126465,False,3,1.0,35.0,1.0
256,0.0126984128728508,5.571428298950195,False,2,1.0,36.0,1.0
256,0.0126984128728508,5.571428298950195,False,3,1.0,36.0,1.0
256,0.0126984128728508,5.714285373687744,False,2,1.0,37.0,1.0
256,0.0126984128728508,5.714285373687744,False,3,1.0,37.0,1.0
256,0.0126984128728508,5.857142925262451,False,2,1.0,38.0,1.0
256,0.0126984128728508,5.857142925262451,False,3,1.0,38.0,1.0
256,0.0126984128728508,6.0,False,2,1.0,39.0,1.0
256,0.0126984128728508,6.0,False,3,1.0,39.0,1.0
256,0.0126984128728508,6.142857074737549,False,2,1.0,40.0,1.0
256,0.0126984128728508,6.142857074737549,False,3,1.0,40.0,1.0
256,0.0126984128728508,6.285714149475098,False,2,1.0,41.0,1.0
256,0.0126984128728508,6.285714149475098,False,3,1.0,41.0,1.0
256,0.0126984128728508,6.4285712242126465,False,2,1.0,42.0,1.0
256,0.0126984128728508,6.4285712242126465,False,3,1.0,42.0,1.0
256,0.0126984128728508,6.571428298950195,False,2,1.0,43.0,1.0
256,0.0126984128728508,6.571428298950195,False,3,1.0,43.0,1.0
256,0.0126984128728508,6.714285850524902,False,2,1.0,43.0,1.0
256,0.0126984128728508,6.714285850524902,False,3,1.0,43.0,1.0
256,0.0126984128728508,6.857142925262451,False,2,1.0,44.0,1.0
256,0.0126984128728508,6.857142925262451,False,3,1.0,44.0,1.0
256,0.0126984128728508,7.0,False,2,1.0,45.0,1.0
256,0.0126984128728508,7.0,False,3,1.0,45.0,1.0
256,0.0126984128728508,7.142857074737549,False,2,1.0,46.0,1.0
256,0.0126984128728508,7.142857074737549,False,3,1.0,46.0,1.0
256,0.0126984128728508,7.285714149475098,False,2,1.0,47.0,1.0
256,0.0126984128728508,7.285714149475098,False,3,1.0,47.0,1.0
256,0.0126984128728508,7.4285712242126465,False,2,1.0,48.0,1.0
256,0.0126984128728508,7.4285712242126465,False,3,1.0,48.0,1.0
256,0.0126984128728508,7.571428298950195,False,2,1.0,49.0,1.0
256,0.0126984128728508,7.571428298950195,False,3,1.0,49.0,1.0
256,0.0126984128728508,7.714285850524902,False,2,1.0,50.0,1.0
256,0.0126984128728508,7.714285850524902,False,3,1.0,50.0,1.0
256,0.0126984128728508,7.857142925262451,False,2,1.0,51.0,1.0
256,0.0126984128728508,7.857142925262451,False,3,1.0,51.0,1.0
256,0.0126984128728508,8.0,False,2,1.0,52.0,1.0
256,0.0126984128728508,8.0,False,3,1.0,52.0,1.0
256,0.0126984128728508,8.142857551574707,False,2,1.0,53.0,1.0
256,0.0126984128728508,8.142857551574707,False,3,1.0,53.0,1.0
256,0.0126984128728508,8.285714149475098,False,2,1.0,54.0,1.0
256,0.0126984128728508,8.285714149475098,False,3,1.0,54.0,1.0
256,0.0126984128728508,8.428571701049805,False,2,1.0,55.0,1.0
256,0.0126984128728508,8.428571701049805,False,3,1.0,55.0,1.0
256,0.0126984128728508,8.571428298950195,False,2,1.0,56.0,1.0
256,0.0126984128728508,8.571428298950195,False,3,1.0,56.0,1.0
256,0.0126984128728508,8.714285850524902,False,2,1.0,57.0,1.0
256,0.0126984128728508,8.714285850524902,False,3,1.0,57.0,1.0
256,0.0126984128728508,8.857142448425293,False,2,1.0,57.0,1.0
256,0.0126984128728508,8.857142448425293,False,3,1.0,57.0,1.0
256,0.0126984128728508,9.0,False,2,1.0,58.0,1.0
256,0.0126984128728508,9.0,False,3,1.0,58.0,1.0
256,0.0190476197749376,0.0,False,2,1.0,1.0,0.007667824074074074
256,0.0190476197749376,0.0,False,3,1.0,1.0,0.007906539351851852
256,0.0190476197749376,0.1428571492433548,False,2,1.0,1.0,0.007667824074074074
256,0.0190476197749376,0.1428571492433548,False,3,1.0,1.0,0.007906539351851852
256,0.0190476197749376,0.2857142984867096,False,2,1.0,1.0,0.007667824074074074
256,0.0190476197749376,0.2857142984867096,False,3,1.0,1.0,0.007906539351851852
256,0.0190476197749376,0.4285714626312256,False,2,1.0,2.0,0.014952256944444445
256,0.0190476197749376,0.4285714626312256,False,3,1.0,2.0,0.015874565972222223
256,0.0190476197749376,0.5714285969734192,False,2,1.0,3.0,0.03136935763888889
256,0.0190476197749376,0.5714285969734192,False,3,1.0,3.0,0.03153211805555556
256,0.0190476197749376,0.7142857313156128,False,2,1.0,4.0,0.06323784722222223
256,0.0190476197749376,0.7142857313156128,False,3,1.0,4.0,0.06329210069444445
256,0.0190476197749376,0.8571429252624512,False,2,1.0,5.0,0.12620442708333332
