d,n,k,errs
332,65536,40,0
116,65536,8,0
140,65536,8,0
356,65536,40,0
164,65536,8,0
188,65536,8,0
380,65536,40,0
212,65536,8,0
236,65536,8,0
260,65536,8,0
404,65536,40,0
284,65536,8,0
308,65536,8,0
332,65536,8,0
428,65536,40,0
356,65536,8,0
380,65536,8,0
404,65536,8,0
428,65536,8,0
452,65536,40,0
452,65536,8,0
476,65536,8,0
476,65536,40,0
500,65536,8,0
524,65536,8,0
500,65536,40,0
548,65536,8,0
572,65536,8,0
524,65536,40,0
596,65536,8,0
620,65536,8,0
548,65536,40,0
644,65536,8,0
572,65536,40,0
668,65536,8,0
596,65536,40,0
692,65536,8,0
716,65536,8,0
620,65536,40,0
740,65536,8,0
644,65536,40,0
764,65536,8,0
668,65536,40,0
788,65536,8,0
692,65536,40,0
812,65536,8,0
716,65536,40,0
836,65536,8,0
740,65536,40,0
860,65536,8,0
764,65536,40,0
884,65536,8,0
788,65536,40,0
908,65536,8,0
812,65536,40,0
932,65536,8,0
836,65536,40,0
956,65536,8,0
860,65536,40,0
980,65536,8,0
884,65536,40,0
1004,65536,8,0
20,65536,10,3
44,65536,10,1
68,65536,10,1
908,65536,40,0
92,65536,10,0
116,65536,10,1
140,65536,10,0
932,65536,40,0
164,65536,10,0
188,65536,10,0
956,65536,40,0
212,65536,10,0
236,65536,10,0
260,65536,10,0
980,65536,40,0
284,65536,10,0
308,65536,10,0
1004,65536,40,0
332,65536,10,0
20,65536,42,24
44,65536,42,22
68,65536,42,15
356,65536,10,0
92,65536,42,19
380,65536,10,0
404,65536,10,0
428,65536,10,0
116,65536,42,27
452,65536,10,0
140,65536,42,28
476,65536,10,0
500,65536,10,0
164,65536,42,23
524,65536,10,0
548,65536,10,0
572,65536,10,0
188,65536,42,24
596,65536,10,0
620,65536,10,0
212,65536,42,34
644,65536,10,0
668,65536,10,0
236,65536,42,26
692,65536,10,0
716,65536,10,0
260,65536,42,15
740,65536,10,0
764,65536,10,0
788,65536,10,0
284,65536,42,24
812,65536,10,0
836,65536,10,0
308,65536,42,15
860,65536,10,0
884,65536,10,0
332,65536,42,12
356,65536,42,0
908,65536,10,0
380,65536,42,0
932,65536,10,0
404,65536,42,0
956,65536,10,0
428,65536,42,0
980,65536,10,0
452,65536,42,0
1004,65536,10,0
20,65536,12,6
44,65536,12,2
