k,d,max_steps,n,acc
1,592,2,4096,1.0
1,592,2,65536,1.0
1,592,2,1048576,1.0
1,592,4,256,1.0
1,592,4,4096,1.0
1,592,4,65536,1.0
1,592,4,1048576,1.0
1,592,64,256,1.0
1,592,64,4096,1.0
1,592,64,65536,1.0
1,592,64,1048576,1.0
1,608,1,256,1.0
1,608,1,4096,1.0
1,608,1,65536,1.0
1,608,1,1048576,1.0
1,608,2,256,1.0
1,608,2,4096,1.0
1,608,2,65536,1.0
1,608,2,1048576,1.0
1,608,4,256,1.0
1,608,4,4096,1.0
1,608,4,65536,1.0
1,608,4,1048576,1.0
1,608,64,256,1.0
1,608,64,4096,1.0
1,608,64,65536,1.0
1,608,64,1048576,1.0
1,624,1,256,1.0
1,624,1,4096,1.0
1,624,1,65536,1.0
1,624,1,1048576,1.0
1,624,2,256,1.0
1,624,2,4096,1.0
1,624,2,65536,1.0
1,624,2,1048576,1.0
1,624,4,256,1.0
1,624,4,4096,1.0
1,624,4,65536,1.0
1,624,4,1048576,1.0
1,624,64,256,1.0
1,624,64,4096,1.0
1,624,64,65536,1.0
1,624,64,1048576,1.0
1,640,1,256,1.0
1,640,1,4096,1.0
1,640,1,65536,1.0
1,640,1,1048576,1.0
1,640,2,256,1.0
1,640,2,4096,1.0
1,640,2,65536,1.0
1,640,2,1048576,1.0
1,640,4,256,1.0
1,640,4,4096,1.0
1,640,4,65536,1.0
1,640,4,1048576,1.0
1,640,64,256,1.0
1,640,64,4096,1.0
1,640,64,65536,1.0
1,640,64,1048576,1.0
1,656,1,256,1.0
1,656,1,4096,1.0
1,656,1,65536,1.0
1,656,1,1048576,1.0
1,656,2,256,1.0
1,656,2,4096,1.0
1,656,2,65536,1.0
1,656,2,1048576,1.0
1,656,4,256,1.0
1,656,4,4096,1.0
1,656,4,65536,1.0
1,656,4,1048576,1.0
1,656,64,256,1.0
1,656,64,4096,1.0
1,656,64,65536,1.0
1,656,64,1048576,1.0
1,672,1,256,1.0
1,672,1,4096,1.0
1,672,1,65536,1.0
1,672,1,1048576,1.0
1,672,2,256,1.0
1,672,2,4096,1.0
1,672,2,65536,1.0
1,672,2,1048576,1.0
1,672,4,256,1.0
1,672,4,4096,1.0
1,672,4,65536,1.0
1,672,4,1048576,1.0
1,672,64,256,1.0
1,672,64,4096,1.0
1,672,64,65536,1.0
1,672,64,1048576,1.0
1,688,1,256,1.0
1,688,1,4096,1.0
1,688,1,65536,1.0
1,688,1,1048576,1.0
1,688,2,256,1.0
1,688,2,4096,1.0
1,688,2,65536,1.0
1,688,2,1048576,1.0
1,688,4,256,1.0
1,688,4,4096,1.0
1,688,4,65536,1.0
1,688,4,1048576,1.0
1,688,64,256,1.0
1,688,64,4096,1.0
1,688,64,65536,1.0
1,688,64,1048576,1.0
1,704,1,256,1.0
1,704,1,4096,1.0
1,704,1,65536,1.0
1,704,1,1048576,1.0
1,704,2,256,1.0
1,704,2,4096,1.0
1,704,2,65536,1.0
1,704,2,1048576,1.0
1,704,4,256,1.0
1,704,4,4096,1.0
1,704,4,65536,1.0
1,704,4,1048576,1.0
1,704,64,256,1.0
1,704,64,4096,1.0
1,704,64,65536,1.0
1,704,64,1048576,1.0
1,720,1,256,1.0
1,720,1,4096,1.0
1,720,1,65536,1.0
1,720,1,1048576,1.0
1,720,2,256,1.0
1,720,2,4096,1.0
1,720,2,65536,1.0
1,720,2,1048576,1.0
1,720,4,256,1.0
1,720,4,4096,1.0
1,720,4,65536,1.0
1,720,4,1048576,1.0
1,720,64,256,1.0
1,720,64,4096,1.0
1,720,64,65536,1.0
1,720,64,1048576,1.0
1,736,1,256,1.0
1,736,1,4096,1.0
1,736,1,65536,1.0
1,736,1,1048576,1.0
1,736,2,256,1.0
1,736,2,4096,1.0
1,736,2,65536,1.0
1,736,2,1048576,1.0
1,736,4,256,1.0
1,736,4,4096,1.0
1,736,4,65536,1.0
1,736,4,1048576,1.0
1,736,64,256,1.0
1,736,64,4096,1.0
1,736,64,65536,1.0
1,736,64,1048576,1.0
1,752,1,256,1.0
1,752,1,4096,1.0
1,752,1,65536,1.0
1,752,1,1048576,1.0
1,752,2,256,1.0
1,752,2,4096,1.0
1,752,2,65536,1.0
1,752,2,1048576,1.0
1,752,4,256,1.0
1,752,4,4096,1.0
1,752,4,65536,1.0
1,752,4,1048576,1.0
1,752,64,256,1.0
1,752,64,4096,1.0
1,752,64,65536,1.0
1,752,64,1048576,1.0
1,768,1,256,1.0
1,768,1,4096,1.0
1,768,1,65536,1.0
1,768,1,1048576,1.0
1,768,2,256,1.0
1,768,2,4096,1.0
1,768,2,65536,1.0
1,768,2,1048576,1.0
1,768,4,256,1.0
1,768,4,4096,1.0
1,768,4,65536,1.0
1,768,4,1048576,1.0
1,768,64,256,1.0
1,768,64,4096,1.0
1,768,64,65536,1.0
1,768,64,1048576,1.0
1,784,1,256,1.0
1,784,1,4096,1.0
1,784,1,65536,1.0
1,784,1,1048576,1.0
1,784,2,256,1.0
1,784,2,4096,1.0
1,784,2,65536,1.0
1,784,2,1048576,1.0
1,784,4,256,1.0
1,784,4,4096,1.0
1,784,4,65536,1.0
1,784,4,1048576,1.0
1,784,64,256,1.0
1,784,64,4096,1.0
1,784,64,65536,1.0
1,784,64,1048576,1.0
1,800,1,256,1.0
1,800,1,4096,1.0
1,800,1,65536,1.0
1,800,1,1048576,1.0
1,800,2,256,1.0
1,800,2,4096,1.0
1,800,2,65536,1.0
1,800,2,1048576,1.0
1,800,4,256,1.0
1,800,4,4096,1.0
1,800,4,65536,1.0
1,800,4,1048576,1.0
1,800,64,256,1.0
1,800,64,4096,1.0
1,800,64,65536,1.0
1,800,64,1048576,1.0
1,816,1,256,1.0
1,816,1,4096,1.0
1,816,1,65536,1.0
1,816,1,1048576,1.0
1,816,2,256,1.0
1,816,2,4096,1.0
1,816,2,65536,1.0
1,816,2,1048576,1.0
1,816,4,256,1.0
1,816,4,4096,1.0
1,816,4,65536,1.0
1,816,4,1048576,1.0
1,816,64,256,1.0
1,816,64,4096,1.0
1,816,64,65536,1.0
1,816,64,1048576,1.0
1,832,1,256,1.0
1,832,1,4096,1.0
1,832,1,65536,1.0
1,832,1,1048576,1.0
1,832,2,256,1.0
1,832,2,4096,1.0
1,832,2,65536,1.0
1,832,2,1048576,1.0
1,832,4,256,1.0
1,832,4,4096,1.0
1,832,4,65536,1.0
1,832,4,1048576,1.0
1,832,64,256,1.0
1,832,64,4096,1.0
1,832,64,65536,1.0
1,832,64,1048576,1.0
1,848,1,256,1.0
1,848,1,4096,1.0
1,848,1,65536,1.0
1,848,1,1048576,1.0
1,848,2,256,1.0
1,848,2,4096,1.0
1,848,2,65536,1.0
1,848,2,1048576,1.0
1,848,4,256,1.0
1,848,4,4096,1.0
1,848,4,65536,1.0
1,848,4,1048576,1.0
1,848,64,256,1.0
1,848,64,4096,1.0
1,848,64,65536,1.0
1,848,64,1048576,1.0
1,864,1,256,1.0
1,864,1,4096,1.0
1,864,1,65536,1.0
1,864,1,1048576,1.0
1,864,2,256,1.0
1,864,2,4096,1.0
1,864,2,65536,1.0
1,864,2,1048576,1.0
1,864,4,256,1.0
1,864,4,4096,1.0
1,864,4,65536,1.0
1,864,4,1048576,1.0
1,864,64,256,1.0
1,864,64,4096,1.0
