n,k,d,method,acc
256,6,2240,top_k,1.0
256,6,2304,threshold,1.0
256,6,2304,top_k,1.0
256,6,2368,threshold,1.0
256,6,2368,top_k,1.0
256,6,2432,threshold,1.0
256,6,2432,top_k,1.0
256,6,2496,threshold,1.0
256,6,2496,top_k,1.0
256,6,2560,threshold,1.0
256,6,2560,top_k,1.0
256,6,2624,threshold,1.0
256,6,2624,top_k,1.0
256,6,2688,threshold,1.0
256,6,2688,top_k,1.0
256,6,2752,threshold,1.0
256,6,2752,top_k,1.0
256,6,2816,threshold,1.0
256,6,2816,top_k,1.0
256,6,2880,threshold,1.0
256,6,2880,top_k,1.0
256,6,2944,threshold,1.0
256,6,2944,top_k,1.0
256,6,3008,threshold,1.0
256,6,3008,top_k,1.0
256,6,3072,threshold,1.0
256,6,3072,top_k,1.0
256,6,3136,threshold,1.0
256,6,3136,top_k,1.0
256,6,3200,threshold,1.0
256,6,3200,top_k,1.0
256,6,3264,threshold,1.0
256,6,3264,top_k,1.0
256,6,3328,threshold,1.0
256,6,3328,top_k,1.0
256,6,3392,threshold,1.0
256,6,3392,top_k,1.0
256,6,3456,threshold,1.0
256,6,3456,top_k,1.0
256,6,3520,threshold,1.0
256,6,3520,top_k,1.0
256,6,3584,threshold,1.0
256,6,3584,top_k,1.0
256,6,3648,threshold,1.0
256,6,3648,top_k,1.0
256,6,3712,threshold,1.0
256,6,3712,top_k,1.0
256,6,3776,threshold,1.0
256,6,3776,top_k,1.0
256,6,3840,threshold,1.0
256,6,3840,top_k,1.0
256,6,3904,threshold,1.0
256,6,3904,top_k,1.0
256,6,3968,threshold,1.0
256,6,3968,top_k,1.0
256,6,4032,threshold,1.0
256,6,4032,top_k,1.0
256,6,4096,threshold,1.0
256,6,4096,top_k,1.0
256,7,64,threshold,0.014967873831775702
256,7,64,top_k,0.058484228971962614
256,7,128,threshold,0.3758031542056075
256,7,128,top_k,0.6983060747663551
256,7,192,threshold,0.7766501168224299
256,7,192,top_k,0.9639310747663551
256,7,256,threshold,0.9370619158878505
256,7,256,top_k,0.9968603971962616
256,7,320,threshold,0.9806512850467289
256,7,320,top_k,0.9999269859813084
256,7,384,threshold,0.9942318925233645
256,7,384,top_k,0.9999269859813084
256,7,448,threshold,0.9983206775700935
256,7,448,top_k,1.0
256,7,512,threshold,0.9997079439252337
256,7,512,top_k,1.0
256,7,576,threshold,0.9998539719626168
256,7,576,top_k,1.0
256,7,640,threshold,1.0
256,7,640,top_k,1.0
256,7,704,threshold,1.0
256,7,704,top_k,1.0
256,7,768,threshold,1.0
256,7,768,top_k,1.0
256,7,832,threshold,1.0
256,7,832,top_k,1.0
256,7,896,threshold,1.0
256,7,896,top_k,1.0
256,7,960,threshold,1.0
256,7,960,top_k,1.0
256,7,1024,threshold,1.0
256,7,1024,top_k,1.0
256,7,1088,threshold,1.0
256,7,1088,top_k,1.0
256,7,1152,threshold,1.0
256,7,1152,top_k,1.0
256,7,1216,threshold,1.0
256,7,1216,top_k,1.0
256,7,1280,threshold,1.0
256,7,1280,top_k,1.0
256,7,1344,threshold,1.0
256,7,1344,top_k,1.0
256,7,1408,threshold,1.0
256,7,1408,top_k,1.0
256,7,1472,threshold,1.0
256,7,1472,top_k,1.0
256,7,1536,threshold,1.0
256,7,1536,top_k,1.0
256,7,1600,threshold,1.0
256,7,1600,top_k,1.0
256,7,1664,threshold,1.0
256,7,1664,top_k,1.0
256,7,1728,threshold,1.0
256,7,1728,top_k,1.0
256,7,1792,threshold,1.0
256,7,1792,top_k,1.0
256,7,1856,threshold,1.0
256,7,1856,top_k,1.0
256,7,1920,threshold,1.0
256,7,1920,top_k,1.0
256,7,1984,threshold,1.0
256,7,1984,top_k,1.0
256,7,2048,threshold,1.0
256,7,2048,top_k,1.0
256,7,2112,threshold,1.0
256,7,2112,top_k,1.0
256,7,2176,threshold,1.0
256,7,2176,top_k,1.0
