# run: do-look-real-research
# time: 2025-11-20T11:22:13.426162+00:00
# command: project/eta_sweep_runner.py
# git_commit: 02a306d205aea27793f13fcdeab56cf7488e687c
# config: {"n": 1048576, "max_factor": 9, "max_eta": 0.4, "max_steps": 3, "threshold": false, "batch": 256, "max_floats": 4294967296, "device": "cuda"}
k,d,acc,eta,factor,step
1,10,0.0,0.01904761977493763,0.7142857313156128,197
1,12,0.00390625,0.01904761977493763,0.8571429252624512,198
1,14,0.03515625,0.01904761977493763,1.0,199
1,16,0.0390625,0.01904761977493763,1.1428571939468384,200
1,19,0.3984375,0.01904761977493763,1.2857143878936768,201
1,21,0.75,0.01904761977493763,1.4285714626312256,202
1,23,0.9140625,0.01904761977493763,1.571428656578064,203
1,25,0.98046875,0.01904761977493763,1.7142858505249023,204
1,27,0.99609375,0.01904761977493763,1.8571429252624512,205
1,29,1.0,0.01904761977493763,2.0,206
1,31,1.0,0.01904761977493763,2.142857313156128,207
1,33,1.0,0.01904761977493763,2.2857143878936768,208
1,36,1.0,0.01904761977493763,2.4285714626312256,209
1,38,1.0,0.01904761977493763,2.5714287757873535,210
1,40,1.0,0.01904761977493763,2.7142858505249023,211
1,42,1.0,0.01904761977493763,2.857142925262451,212
1,44,1.0,0.01904761977493763,3.000000238418579,213
1,46,1.0,0.01904761977493763,3.142857313156128,214
1,48,1.0,0.01904761977493763,3.2857143878936768,215
1,50,1.0,0.01904761977493763,3.4285717010498047,216
1,53,1.0,0.01904761977493763,3.5714287757873535,217
1,55,1.0,0.01904761977493763,3.7142858505249023,218
1,57,1.0,0.01904761977493763,3.857142925262451,219
1,59,1.0,0.01904761977493763,4.0,220
1,61,1.0,0.01904761977493763,4.142857551574707,221
1,63,1.0,0.01904761977493763,4.285714626312256,222
1,65,1.0,0.01904761977493763,4.428571701049805,223
1,67,1.0,0.01904761977493763,4.571428298950195,224
1,70,1.0,0.01904761977493763,4.714285373687744,225
1,72,1.0,0.01904761977493763,4.857142448425293,226
1,74,1.0,0.01904761977493763,5.0,227
1,76,1.0,0.01904761977493763,5.142857074737549,228
1,78,1.0,0.01904761977493763,5.285714149475098,229
1,80,1.0,0.01904761977493763,5.4285712242126465,230
1,82,1.0,0.01904761977493763,5.571428298950195,231
1,84,1.0,0.01904761977493763,5.714285373687744,232
1,87,1.0,0.01904761977493763,5.857142925262451,233
1,89,1.0,0.01904761977493763,6.0,234
1,91,1.0,0.01904761977493763,6.142857074737549,235
1,93,1.0,0.01904761977493763,6.285714149475098,236
1,95,1.0,0.01904761977493763,6.4285712242126465,237
1,97,1.0,0.01904761977493763,6.571428298950195,238
1,99,1.0,0.01904761977493763,6.714285850524902,239
1,101,1.0,0.01904761977493763,6.857142925262451,240
1,104,1.0,0.01904761977493763,7.0,241
1,106,1.0,0.01904761977493763,7.142857074737549,242
1,108,1.0,0.01904761977493763,7.285714149475098,243
1,110,1.0,0.01904761977493763,7.4285712242126465,244
1,112,1.0,0.01904761977493763,7.571428298950195,245
1,114,1.0,0.01904761977493763,7.714285850524902,246
1,116,1.0,0.01904761977493763,7.857142925262451,247
1,118,1.0,0.01904761977493763,8.0,248
1,121,1.0,0.01904761977493763,8.142857551574707,249
1,123,1.0,0.01904761977493763,8.285714149475098,250
1,125,1.0,0.01904761977493763,8.428571701049805,251
1,127,1.0,0.01904761977493763,8.571428298950195,252
